name,url
ACME Air:,https://github.com/acmeair/
Beer catalog (Spring Boot),https://github.com/oktadeveloper/spring-boot-microservices-example
Blog post (Spring Boot),https://github.com/fernandoabcampos/spring-netflix-oss-microservices
Bootstrapping Microservices with Docker, Kubernetes, and Terraform,https://www.oreilly.com/library/view/bootstrapping-microservices-with/9781617297212/
CAS Microservice (Portuguese),https://github.com/ArcanjoQueiroz/cas-microservice-architecture
Cinema Administration:,https://medium.com/@cramirez92/build-a-nodejs-cinema-microservice-and-deploying-it-with-docker-part-1-7e28e25bfa8b
CQRS microservice application:,https://github.com/benwilcock/cqrs-microservice-sampler
Cloud Native Strangler Example,https://github.com/kbastani/cloud-native-microservice-strangler-example
DDD Sample Application:,https://sourceforge.net/projects/dddsample
Delivery system,https://github.com/matt-slater/delivery-system
Digota - ecommerce microservice,https://github.com/digota/digota
E-Commerce App,https://github.com/venkataravuri/e-commerce-microservices-sample
ExplorViz,https://github.com/ExplorViz
Eberhard Wolff's 11 Demo Systems,https://ewolff.com/microservices-demos.html
EnterprisePlanner (ASP.NET),https://github.com/gfawcett22/EnterprisePlanner
eShop on Containers:,https://github.com/dotnet-architecture/eShopOnContainers
Freddy’s bbq joint (Pivotal SSO, Spring Cloud),https://github.com/william-tran/freddys-bbq
FTGO - Restaurant Management,https://github.com/microservices-patterns/ftgo-application
Generic Online Shop (service-based patterns experiment) (Java):,https://github.com/xJREB/research-modifiability-pattern-experiment
Graph Processing,https://github.com/kbastani/spring-boot-graph-processing-example
Hipster Shop,https://github.com/GoogleCloudPlatform/microservices-demo
Hot R.O.D. - Rides on Demand,https://github.com/jaegertracing/jaeger/tree/master/examples/hotrod
Kenzan Million Song Library,https://github.com/TheDigitalNinja/million-song-library
Lakeside Mutual Insurance Company (API patterns example),https://github.com/Microservice-API-Patterns/LakesideMutual
Micro company (Spring Cloud, Axon),https://github.com/idugalic/micro-company
Microblog:,https://github.com/senecajs/ramanujan
microService,https://github.com/bishion/microService
Microservices book,https://github.com/ewolff/microservice
Microservice Kubernetes Sample,https://github.com/ewolff/microservice-kubernetes
Microservices Reference for Azure,https://github.com/mspnp/microservices-reference-implementation
Microservices with Consul and Eureka (Chinese),https://github.com/bishion/microService
Movie recommendation,https://github.com/mdeket/spring-cloud-movie-recommendation
Music Store:,https://github.com/aspnet/MusicStore
MusicStore (ASP.NET),https://github.com/SteeltoeOSS/Samples/tree/master/MusicStore
Netflix microservices with Spring and Eureka,https://github.com/yidongnan/spring-cloud-netflix-example
Parts Unlimited MRP Microservices,https://github.com/microsoft/PartsUnlimitedMRPmicro
Photo uploader (NGINX Fabric Model),https://github.com/nginxinc/mra-ingenious
Piggy Metrics,https://github.com/sqshq/PiggyMetrics
Pitstop (DDD, CQRS, Event Sourcing),https://github.com/EdwinVW/pitstop
Product Review Microservice,https://github.com/callistaenterprise/blog-microservices
Robot Shop,https://github.com/instana/robot-shop
Service Commerce,https://github.com/antonio94js/servicecommerce
Share bike (Chinese),https://github.com/JoeCao/qbike
SiteWhere,https://github.com/sitewhere/sitewhere
Sock Shop,https://github.com/microservices-demo
Spring Cloud Microservice Example:,https://github.com/zpng/spring-cloud-microservice-examples
Spring Microservice online shop:,https://github.com/paulc4/microservices-demo
Spring PetClinic,https://github.com/spring-petclinic/spring-petclinic-microservices
Spring Petclinic Migration to AWS,https://github.com/aws-samples/amazon-ecs-java-microservices
SpringBoot Microservices:,https://github.com/oktadeveloper/spring-boot-microservices-example
SpringBoot Microservices Blog Series:,https://github.com/sivaprasadreddy/spring-boot-microservices-series
Tap-And-Eat (Spring Cloud),https://github.com/jferrater/Tap-And-Eat-MicroServices
Task track support (Chinese),https://github.com/yun19830206/CloudShop-MicroService-Architecture
Tea Store:,https://github.com/DescartesResearch/TeaStore/wiki
Train Ticket,https://github.com/FudanSELab/train-ticket/
Vanilla-Java/Microservices,https://github.com/Vanilla-Java/Microservices
Vehicle tracking,https://github.com/mohamed-abdo/vehicle-tracking-microservices
Warehouse microservice,https://github.com/HieJulia/warehouse-microservice
WeText (DDD, CQRS, C#),https://github.com/daxnet/we-text
